id,ancestor_list,origin_time,score_AVE
7039,[6091],69,1.500000
7040,[6098],69,1.000000
7041,[6098],69,2.000000
7042,[6067],69,2.000000
7043,[6098],69,1.500000
7044,[6094],69,1.500000
7045,[6048],69,2.000000
7046,[6067],69,3.000000
7047,[6094],69,1.500000
7048,[6091],69,2.500000
7049,[6067],69,1.500000
7050,[6094],69,1.000000
7051,[6048],69,2.500000
7052,[6091],69,1.500000
7053,[6098],69,3.500000
7054,[6091],69,1.000000
7055,[6091],69,3.000000
7056,[6032],69,1.500000
7057,[6098],69,1.500000
7058,[6098],69,3.000000
7059,[6048],69,2.000000
7060,[6014],69,1.500000
7061,[6098],69,0.000000
7062,[6048],69,3.000000
7063,[6048],69,1.000000
7064,[6048],69,2.000000
7065,[6091],69,2.000000
7066,[6098],69,2.000000
7067,[6026],69,2.500000
7068,[6098],69,2.000000
7069,[6091],69,4.000000
7070,[6067],69,2.000000
7071,[6039],69,5.500000
7072,[6081],69,1.000000
7073,[6014],69,2.000000
7074,[6098],69,0.500000
7075,[6098],69,2.000000
7076,[6091],69,2.000000
7077,[6026],69,1.500000
7078,[6047],69,1.000000
7079,[6094],69,2.500000
7080,[6091],69,1.500000
7081,[6098],69,1.500000
7082,[6094],69,1.500000
7083,[6039],69,1.000000
7084,[6091],69,2.500000
7085,[6040],69,1.000000
7086,[6091],69,1.500000
7087,[6091],69,2.500000
7088,[6040],69,3.500000
7089,[6040],69,1.000000
7090,[6098],69,2.500000
7091,[6098],69,2.500000
7092,[6098],69,3.000000
7093,[6098],69,4.000000
7094,[6098],69,1.000000
7095,[6091],69,2.000000
7096,[6081],69,3.000000
7097,[6091],69,4.000000
7098,[6091],69,2.500000
7099,[6091],69,2.000000
7100,[6067],69,2.000000
8001,[7015],79,4.000000
8002,[7093],79,5.000000
8003,[7025],79,0.500000
8004,[7025],79,3.000000
8005,[7004],79,1.000000
8006,[7004],79,1.500000
8007,[7025],79,3.000000
8008,[7036],79,2.500000
8009,[7036],79,1.500000
8010,[7004],79,3.500000
8011,[7053],79,2.000000
8012,[7004],79,2.500000
8013,[7037],79,1.500000
8014,[7025],79,1.000000
8015,[7004],79,1.500000
8016,[7004],79,3.000000
8017,[7036],79,1.500000
8018,[7004],79,2.000000
8019,[7025],79,2.000000
8020,[7100],79,1.000000
8021,[7093],79,3.500000
8022,[7079],79,1.000000
8023,[7004],79,2.000000
8024,[7097],79,2.000000
8025,[7025],79,0.500000
8026,[7004],79,1.000000
8027,[7053],79,0.500000
8028,[7025],79,1.500000
8029,[7004],79,1.000000
8030,[7004],79,3.000000
8031,[7004],79,1.500000
8032,[7035],79,1.000000
8033,[7035],79,1.500000
8034,[7035],79,0.500000
8035,[7067],79,1.000000
8036,[7025],79,1.000000
8037,[7026],79,2.000000
8038,[7004],79,1.500000
8039,[7004],79,1.500000
8040,[7025],79,2.000000
8041,[7100],79,2.000000
8042,[7037],79,1.000000
8043,[7100],79,1.000000
8044,[7004],79,2.000000
8045,[7097],79,1.500000
8046,[7038],79,1.000000
8047,[7093],79,1.000000
8048,[7093],79,4.000000
8049,[7037],79,2.000000
8050,[7085],79,1.000000
8051,[7085],79,2.000000
8052,[7004],79,1.000000
8053,[7053],79,3.000000
8054,[7053],79,3.000000
8055,[7025],79,2.000000
8056,[7025],79,1.500000
8057,[7025],79,2.000000
8058,[7079],79,2.000000
8059,[7097],79,1.000000
8060,[7004],79,1.000000
8061,[7025],79,3.500000
8062,[7093],79,2.500000
8063,[7037],79,2.500000
8064,[7035],79,2.000000
8065,[7004],79,2.000000
8066,[7004],79,1.000000
8067,[7053],79,3.000000
8068,[7004],79,2.000000
8069,[7053],79,2.000000
8070,[7004],79,4.500000
8071,[7004],79,4.500000
8072,[7038],79,1.000000
8073,[7004],79,1.500000
8074,[7085],79,1.500000
8075,[7025],79,1.500000
8076,[7026],79,1.000000
8077,[7025],79,2.000000
8078,[7004],79,7.000000
8079,[7025],79,2.500000
8080,[7004],79,1.000000
8081,[7067],79,3.000000
8082,[7004],79,2.000000
8083,[7067],79,3.500000
8084,[7025],79,1.500000
8085,[7004],79,2.000000
8086,[7004],79,0.500000
8087,[7035],79,1.000000
8088,[7004],79,1.000000
8089,[7025],79,1.500000
8090,[7093],79,2.500000
8091,[7037],79,3.000000
8092,[7004],79,1.500000
8093,[7067],79,1.000000
8094,[7004],79,3.500000
8095,[7025],79,2.000000
8096,[7004],79,1.000000
8097,[7025],79,1.500000
8098,[7026],79,2.500000
8099,[7079],79,1.000000
8100,[7093],79,1.000000
9001,[8002],89,2.500000
9002,[8044],89,4.500000
9003,[8024],89,5.500000
9004,[8024],89,3.000000
9005,[8002],89,2.000000
9006,[8053],89,4.000000
9007,[8079],89,1.500000
9008,[8053],89,4.000000
9009,[8044],89,4.500000
9010,[8024],89,1.500000
9011,[8014],89,1.500000
9012,[8002],89,1.500000
9013,[8014],89,2.000000
9014,[8002],89,5.000000
9015,[8024],89,2.000000
9016,[8048],89,3.000000
9017,[8053],89,5.500000
9018,[8053],89,2.500000
9019,[8053],89,1.500000
9020,[8014],89,1.500000
9021,[8044],89,1.000000
9022,[8053],89,1.500000
9023,[8053],89,1.500000
9024,[8044],89,9.000000
9025,[8002],89,1.000000
9026,[8014],89,2.500000
9027,[8014],89,4.500000
9028,[8002],89,1.500000
9029,[8053],89,0.000000
9030,[8053],89,3.000000
9031,[8053],89,5.500000
9032,[8014],89,4.000000
9033,[8024],89,2.000000
9034,[8002],89,2.500000
9035,[8053],89,4.000000
9036,[8002],89,5.500000
9037,[8074],89,1.000000
9038,[8070],89,7.000000
9039,[8053],89,2.500000
9040,[8044],89,1.500000
9041,[8053],89,3.500000
9042,[8053],89,3.000000
9043,[8048],89,2.500000
9044,[8066],89,5.500000
9045,[8014],89,2.000000
9046,[8094],89,3.000000
9047,[8002],89,1.000000
9048,[8024],89,1.500000
9049,[8048],89,1.500000
9050,[8053],89,3.000000
9051,[8044],89,3.000000
9052,[8044],89,4.500000
9053,[8044],89,4.000000
9054,[8002],89,1.000000
9055,[8044],89,0.000000
9056,[8053],89,3.000000
9057,[8044],89,4.500000
9058,[8014],89,3.500000
9059,[8002],89,1.500000
9060,[8053],89,2.500000
9061,[8064],89,2.500000
9062,[8044],89,6.000000
9063,[8053],89,3.500000
9064,[8002],89,5.500000
9065,[8044],89,6.000000
9066,[8002],89,1.000000
9067,[8053],89,1.000000
9068,[8074],89,4.000000
9069,[8024],89,2.000000
9070,[8074],89,2.500000
9071,[8066],89,5.000000
9072,[8002],89,1.000000
9073,[8024],89,5.000000
9074,[8079],89,0.500000
9075,[8037],89,5.000000
9076,[8044],89,5.000000
9077,[8053],89,3.000000
9078,[8024],89,3.500000
9079,[8066],89,3.000000
9080,[8079],89,5.500000
9081,[8044],89,4.500000
9082,[8053],89,3.000000
9083,[8053],89,4.500000
9084,[8074],89,2.000000
9085,[8066],89,4.000000
9086,[8044],89,5.500000
9087,[8044],89,2.500000
9088,[8002],89,4.000000
9089,[8066],89,1.000000
9090,[8024],89,9.000000
9091,[8002],89,1.000000
9092,[8064],89,3.000000
9093,[8002],89,1.500000
9094,[8066],89,3.000000
9095,[8064],89,3.000000
9096,[8044],89,5.000000
9097,[8053],89,1.500000
9098,[8014],89,6.000000
